Time(s),Thrust(N),,Data Max,94765.72156,Time Normalized 0-1,Thrust Normalized 0-1,,,
0.03,7339.58497,,,,0.00060241,0.077449787,0.125,0.314227087,0.125
0.06,7484.51308,,,,0.001204819,0.078979118,0.25,0.435644591,
0.09,7629.9509,,,,0.001807229,0.080513827,0.375,0.549849863,
0.12,7775.9004,,,,0.002409639,0.082053935,0.5,0.656931442,
0.15,7922.36359,,,,0.003012048,0.083599465,0.625,0.756956923,0.625
0.18,8069.34246,,,,0.003614458,0.085150435,0.75,0.849979563,
0.21,8216.83902,,,,0.004216867,0.086706869,0.875,0.936042287,0.875
0.24,8364.85528,,,,0.004819277,0.088268787,1,0.972324123,
0.27,8513.39327,,,,0.005421687,0.08983621,,,
0.3,8662.45503,,,,0.006024096,0.09140916,,,
0.33,8812.04259,,,,0.006626506,0.092987659,,,
0.36,8962.15801,,,,0.007228916,0.094571728,,,
0.39,9112.80334,,,,0.007831325,0.096161388,,,
0.42,9263.98065,,,,0.008433735,0.097756662,,,
0.45,9415.69202,,,,0.009036145,0.099357572,,,
0.48,9567.93953,,,,0.009638554,0.100964139,,,
0.51,9720.72527,,,,0.010240964,0.102576386,,,
0.54,9874.05134,,,,0.010843373,0.104194335,,,
0.57,10027.91985,,,,0.011445783,0.105818008,,,
0.6,10182.33292,,,,0.012048193,0.107447427,,,
0.63,10337.29268,,,,0.012650602,0.109082615,,,
0.66,10492.80127,,,,0.013253012,0.110723594,,,
0.69,10648.86082,,,,0.013855422,0.112370387,,,
0.72,10805.4735,,,,0.014457831,0.114023017,,,
0.75,10962.64145,,,,0.015060241,0.115681507,,,
0.78,11120.36687,,,,0.015662651,0.117345879,,,
0.81,11278.65191,,,,0.01626506,0.119016156,,,
0.84,11437.49878,,,,0.01686747,0.120692362,,,
0.87,11596.90968,,,,0.01746988,0.12237452,,,
0.9,11756.8868,,,,0.018072289,0.124062653,,,
0.93,11917.43236,,,,0.018674699,0.125756784,,,
0.96,12078.5486,,,,0.019277108,0.127456937,,,
0.99,12240.23774,,,,0.019879518,0.129163136,,,
1.02,12402.50203,,,,0.020481928,0.130875403,,,
1.05,12565.34371,,,,0.021084337,0.132593764,,,
1.08,12728.76506,,,,0.021686747,0.134318241,,,
1.11,12892.76835,,,,0.022289157,0.13604886,,,
1.14,13057.35584,,,,0.022891566,0.137785643,,,
1.17,13222.52984,,,,0.023493976,0.139528615,,,
1.2,13388.29265,,,,0.024096386,0.1412778,,,
1.23,13554.64657,,,,0.024698795,0.143033223,,,
1.26,13721.59391,,,,0.025301205,0.144794908,,,
1.29,13889.13702,,,,0.025903614,0.146562879,,,
1.32,14057.27822,,,,0.026506024,0.148337162,,,
1.35,14226.01986,,,,0.027108434,0.150117781,,,
1.38,14395.3643,,,,0.027710843,0.151904761,,,
1.41,14286.72552,,,,0.028313253,0.150758368,,,
1.44,14350.41694,,,,0.028915663,0.151430461,,,
1.47,14414.09046,,,,0.029518072,0.152102366,,,
1.5,14477.74607,,,,0.030120482,0.152774082,,,
1.53,14541.38379,,,,0.030722892,0.153445608,,,
1.56,14605.00362,,,,0.031325301,0.154116946,,,
1.59,14668.60556,,,,0.031927711,0.154788096,,,
1.62,14732.1896,,,,0.03253012,0.155459056,,,
1.65,14795.75577,,,,0.03313253,0.156129828,,,
1.68,14859.30405,,,,0.03373494,0.156800411,,,
1.71,14922.83445,,,,0.034337349,0.157470805,,,
1.74,14986.34697,,,,0.034939759,0.158141011,,,
1.77,15049.84162,,,,0.035542169,0.158811028,,,
1.8,15113.31839,,,,0.036144578,0.159480856,,,
1.83,15176.7773,,,,0.036746988,0.160150496,,,
1.86,15240.21835,,,,0.037349398,0.160819947,,,
1.89,15303.64153,,,,0.037951807,0.16148921,,,
1.92,15367.04685,,,,0.038554217,0.162158285,,,
1.95,15430.43431,,,,0.039156627,0.162827171,,,
1.98,15493.80391,,,,0.039759036,0.163495868,,,
2.01,15557.15567,,,,0.040361446,0.164164377,,,
2.04,15620.48957,,,,0.040963855,0.164832698,,,
2.07,15683.80563,,,,0.041566265,0.165500831,,,
2.1,15747.10384,,,,0.042168675,0.166168775,,,
2.13,15810.38421,,,,0.042771084,0.166836531,,,
2.16,15873.64674,,,,0.043373494,0.167504098,,,
2.19,15936.89144,,,,0.043975904,0.168171478,,,
2.22,16000.1183,,,,0.044578313,0.168838669,,,
2.25,16063.32733,,,,0.045180723,0.169505672,,,
2.28,16126.51853,,,,0.045783133,0.170172487,,,
2.31,16189.69191,,,,0.046385542,0.170839114,,,
2.34,16252.84747,,,,0.046987952,0.171505553,,,
2.37,16315.9852,,,,0.047590361,0.172171804,,,
2.4,16379.10511,,,,0.048192771,0.172837866,,,
2.43,16442.20721,,,,0.048795181,0.173503741,,,
2.46,16505.2915,,,,0.04939759,0.174169428,,,
2.49,16568.35798,,,,0.05,0.174834927,,,
2.52,16631.40665,,,,0.05060241,0.175500238,,,
2.55,16694.43752,,,,0.051204819,0.176165361,,,
2.58,16757.45058,,,,0.051807229,0.176830296,,,
2.61,16820.44584,,,,0.052409639,0.177495043,,,
2.64,16883.42331,,,,0.053012048,0.178159603,,,
2.67,16946.38298,,,,0.053614458,0.178823975,,,
2.7,17009.32486,,,,0.054216867,0.179488159,,,
2.73,17072.24895,,,,0.054819277,0.180152155,,,
2.76,17135.15525,,,,0.055421687,0.180815963,,,
2.79,17198.04377,,,,0.056024096,0.181479584,,,
2.82,17260.91451,,,,0.056626506,0.182143018,,,
2.85,17323.76747,,,,0.057228916,0.182806264,,,
2.88,17386.60265,,,,0.057831325,0.183469322,,,
2.91,17449.42005,,,,0.058433735,0.184132192,,,
2.94,17512.21969,,,,0.059036145,0.184794875,,,
2.97,17575.00155,,,,0.059638554,0.185457371,,,
3,17637.76565,,,,0.060240964,0.186119679,,,
3.03,17700.51199,,,,0.060843373,0.186781799,,,
3.06,17763.24056,,,,0.061445783,0.187443732,,,
3.09,17825.95137,,,,0.062048193,0.188105478,,,
3.12,17888.64443,,,,0.062650602,0.188767037,,,
3.15,17951.31973,,,,0.063253012,0.189428408,,,
3.18,18013.97728,,,,0.063855422,0.190089591,,,
3.21,18076.61708,,,,0.064457831,0.190750588,,,
3.24,18139.23914,,,,0.065060241,0.191411397,,,
3.27,18201.84345,,,,0.065662651,0.192072019,,,
3.3,18264.43002,,,,0.06626506,0.192732453,,,
3.33,18326.99885,,,,0.06686747,0.193392701,,,
3.36,18389.54994,,,,0.06746988,0.194052761,,,
3.39,18452.08329,,,,0.068072289,0.194712634,,,
3.42,18514.59892,,,,0.068674699,0.19537232,,,
3.45,18577.09681,,,,0.069277108,0.196031819,,,
3.48,18639.57698,,,,0.069879518,0.196691131,,,
3.51,18702.03942,,,,0.070481928,0.197350256,,,
3.54,18764.48414,,,,0.071084337,0.198009194,,,
3.57,18826.91114,,,,0.071686747,0.198667945,,,
3.6,18889.32042,,,,0.072289157,0.199326509,,,
3.63,18951.71198,,,,0.072891566,0.199984886,,,
3.66,19014.08583,,,,0.073493976,0.200643076,,,
3.69,19076.44198,,,,0.074096386,0.201301079,,,
3.72,19138.78041,,,,0.074698795,0.201958895,,,
3.75,19201.10114,,,,0.075301205,0.202616524,,,
3.78,19263.40416,,,,0.075903614,0.203273967,,,
3.81,19325.68948,,,,0.076506024,0.203931223,,,
3.84,19387.9571,,,,0.077108434,0.204588292,,,
3.87,19450.20703,,,,0.077710843,0.205245174,,,
3.9,19512.43926,,,,0.078313253,0.20590187,,,
3.93,19574.6538,,,,0.078915663,0.206558379,,,
3.96,19636.85065,,,,0.079518072,0.207214701,,,
3.99,19699.02982,,,,0.080120482,0.207870837,,,
4.02,19761.19129,,,,0.080722892,0.208526785,,,
4.05,19823.33509,,,,0.081325301,0.209182548,,,
4.08,19885.4612,,,,0.081927711,0.209838124,,,
4.11,19947.56964,,,,0.08253012,0.210493513,,,
4.14,20009.6604,,,,0.08313253,0.211148716,,,
4.17,20071.73349,,,,0.08373494,0.211803732,,,
4.2,20133.78891,,,,0.084337349,0.212458562,,,
4.23,20195.82666,,,,0.084939759,0.213113205,,,
4.26,20257.84674,,,,0.085542169,0.213767662,,,
4.29,20319.84915,,,,0.086144578,0.214421932,,,
4.32,20381.83391,,,,0.086746988,0.215076017,,,
4.35,20443.801,,,,0.087349398,0.215729914,,,
4.38,20505.75044,,,,0.087951807,0.216383626,,,
4.41,20567.68222,,,,0.088554217,0.217037151,,,
4.44,20629.59635,,,,0.089156627,0.21769049,,,
4.47,20691.49283,,,,0.089759036,0.218343643,,,
4.5,20753.37166,,,,0.090361446,0.218996609,,,
4.53,20815.23284,,,,0.090963855,0.219649389,,,
4.56,20877.07638,,,,0.091566265,0.220301983,,,
4.59,20938.90228,,,,0.092168675,0.220954391,,,
4.62,21000.71054,,,,0.092771084,0.221606613,,,
4.65,21062.50116,,,,0.093373494,0.222258648,,,
4.68,21124.27414,,,,0.093975904,0.222910498,,,
4.71,21186.0295,,,,0.094578313,0.223562161,,,
4.74,21247.76722,,,,0.095180723,0.224213638,,,
4.77,21309.48731,,,,0.095783133,0.22486493,,,
4.8,21371.18977,,,,0.096385542,0.225516035,,,
4.83,21432.87462,,,,0.096987952,0.226166954,,,
4.86,21494.54184,,,,0.097590361,0.226817688,,,
4.89,21556.19144,,,,0.098192771,0.227468235,,,
4.92,21617.82342,,,,0.098795181,0.228118597,,,
4.95,21679.43778,,,,0.09939759,0.228768772,,,
4.98,21741.03454,,,,0.1,0.229418762,,,
5.01,21802.61368,,,,0.10060241,0.230068566,,,
5.04,21864.17521,,,,0.101204819,0.230718184,,,
5.07,21925.71914,,,,0.101807229,0.231367617,,,
5.1,21987.24546,,,,0.102409639,0.232016863,,,
5.13,22048.75418,,,,0.103012048,0.232665924,,,
5.16,22110.2453,,,,0.103614458,0.233314799,,,
5.19,22171.71882,,,,0.104216867,0.233963489,,,
5.22,22233.17474,,,,0.104819277,0.234611992,,,
5.25,22294.61307,,,,0.105421687,0.23526031,,,
5.28,22356.03381,,,,0.106024096,0.235908443,,,
5.31,22417.43695,,,,0.106626506,0.23655639,,,
5.34,22478.82251,,,,0.107228916,0.237204151,,,
5.37,22540.19049,,,,0.107831325,0.237851727,,,
5.4,22601.54088,,,,0.108433735,0.238499117,,,
5.43,22662.87369,,,,0.109036145,0.239146321,,,
5.46,22724.18891,,,,0.109638554,0.23979334,,,
5.49,22785.48657,,,,0.110240964,0.240440174,,,
5.52,22846.76664,,,,0.110843373,0.241086822,,,
5.55,22908.02915,,,,0.111445783,0.241733285,,,
5.58,22969.27408,,,,0.112048193,0.242379562,,,
5.61,23030.50144,,,,0.112650602,0.243025654,,,
5.64,23091.71124,,,,0.113253012,0.24367156,,,
5.67,23152.90347,,,,0.113855422,0.244317281,,,
5.7,23214.07814,,,,0.114457831,0.244962817,,,
5.73,23275.23525,,,,0.115060241,0.245608168,,,
5.76,23336.3748,,,,0.115662651,0.246253333,,,
5.79,23397.49679,,,,0.11626506,0.246898313,,,
5.82,23458.60123,,,,0.11686747,0.247543108,,,
5.85,23519.68812,,,,0.11746988,0.248187717,,,
5.88,23580.75745,,,,0.118072289,0.248832142,,,
5.91,23641.80924,,,,0.118674699,0.249476381,,,
5.94,23702.84348,,,,0.119277108,0.250120435,,,
5.97,23763.86018,,,,0.119879518,0.250764304,,,
6,23824.85933,,,,0.120481928,0.251407987,,,
6.03,23885.84094,,,,0.121084337,0.252051486,,,
6.06,23946.80502,,,,0.121686747,0.2526948,,,
6.09,24007.75155,,,,0.122289157,0.253337928,,,
6.12,24068.68056,,,,0.122891566,0.253980872,,,
6.15,24129.59203,,,,0.123493976,0.25462363,,,
6.18,24190.48597,,,,0.124096386,0.255266204,,,
6.21,24251.36238,,,,0.124698795,0.255908592,,,
6.24,24312.22127,,,,0.125301205,0.256550796,,,
6.27,24373.06263,,,,0.125903614,0.257192814,,,
6.3,24433.88647,,,,0.126506024,0.257834648,,,
6.33,24494.69279,,,,0.127108434,0.258476297,,,
6.36,24555.48159,,,,0.127710843,0.259117761,,,
6.39,24616.25287,,,,0.128313253,0.25975904,,,
6.42,24677.00664,,,,0.128915663,0.260400134,,,
6.45,24737.74289,,,,0.129518072,0.261041044,,,
6.48,24798.46164,,,,0.130120482,0.261681769,,,
6.51,24859.16288,,,,0.130722892,0.262322309,,,
6.54,24919.84661,,,,0.131325301,0.262962664,,,
6.57,24980.51283,,,,0.131927711,0.263602835,,,
6.6,25041.16155,,,,0.13253012,0.26424282,,,
6.63,25101.79277,,,,0.13313253,0.264882622,,,
6.66,25162.40649,,,,0.13373494,0.265522238,,,
6.69,25223.00272,,,,0.134337349,0.26616167,,,
6.72,25283.58145,,,,0.134939759,0.266800917,,,
6.75,25344.14268,,,,0.135542169,0.26743998,,,
6.78,25404.68643,,,,0.136144578,0.268078858,,,
6.81,25465.21268,,,,0.136746988,0.268717552,,,
6.84,25525.72145,,,,0.137349398,0.269356061,,,
6.87,25586.21273,,,,0.137951807,0.269994385,,,
6.9,25646.68653,,,,0.138554217,0.270632525,,,
6.93,25707.14285,,,,0.139156627,0.271270481,,,
6.96,25767.58168,,,,0.139759036,0.271908252,,,
6.99,25828.00304,,,,0.140361446,0.272545838,,,
7.02,25888.40692,,,,0.140963855,0.273183241,,,
7.05,25948.79333,,,,0.141566265,0.273820459,,,
7.08,26009.16227,,,,0.142168675,0.274457492,,,
7.11,26069.51373,,,,0.142771084,0.275094341,,,
7.14,26129.84773,,,,0.143373494,0.275731006,,,
7.17,26190.16425,,,,0.143975904,0.276367486,,,
7.2,26250.46332,,,,0.144578313,0.277003782,,,
7.23,26310.74492,,,,0.145180723,0.277639894,,,
7.26,26371.00906,,,,0.145783133,0.278275822,,,
7.29,26431.25574,,,,0.146385542,0.278911565,,,
7.32,26491.48496,,,,0.146987952,0.279547124,,,
7.35,26551.69673,,,,0.147590361,0.280182499,,,
7.38,26611.89104,,,,0.148192771,0.28081769,,,
7.41,26672.0679,,,,0.148795181,0.281452697,,,
7.44,26732.22731,,,,0.14939759,0.282087519,,,
7.47,26792.36927,,,,0.15,0.282722158,,,
7.5,26852.49379,,,,0.15060241,0.283356612,,,
7.53,26912.60086,,,,0.151204819,0.283990882,,,
7.56,26972.69049,,,,0.151807229,0.284624968,,,
7.59,27032.76267,,,,0.152409639,0.28525887,,,
7.62,27092.81742,,,,0.153012048,0.285892588,,,
7.65,27152.85473,,,,0.153614458,0.286526122,,,
7.68,27212.8746,,,,0.154216867,0.287159472,,,
7.71,27272.87704,,,,0.154819277,0.287792638,,,
7.74,27332.86205,,,,0.155421687,0.288425621,,,
7.77,27392.82963,,,,0.156024096,0.289058419,,,
7.8,27452.77978,,,,0.156626506,0.289691033,,,
7.83,27512.7125,,,,0.157228916,0.290323463,,,
7.86,27572.6278,,,,0.157831325,0.29095571,,,
7.89,27632.52568,,,,0.158433735,0.291587773,,,
7.92,27692.40613,,,,0.159036145,0.292219652,,,
7.95,27752.26916,,,,0.159638554,0.292851346,,,
7.98,27812.11478,,,,0.160240964,0.293482858,,,
8.01,27871.94298,,,,0.160843373,0.294114185,,,
8.04,27931.75376,,,,0.161445783,0.294745329,,,
8.07,27991.54714,,,,0.162048193,0.295376289,,,
8.1,28051.3231,,,,0.162650602,0.296007065,,,
8.13,28111.08165,,,,0.163253012,0.296637657,,,
8.16,28170.8228,,,,0.163855422,0.297268066,,,
8.19,28230.54654,,,,0.164457831,0.297898291,,,
8.22,28290.25288,,,,0.165060241,0.298528333,,,
8.25,28349.94181,,,,0.165662651,0.299158191,,,
8.28,28409.61335,,,,0.16626506,0.299787865,,,
8.31,28469.26748,,,,0.16686747,0.300417356,,,
8.34,28528.90422,,,,0.16746988,0.301046663,,,
8.37,28588.52357,,,,0.168072289,0.301675786,,,
8.4,28648.12552,,,,0.168674699,0.302304726,,,
8.43,28707.71008,,,,0.169277108,0.302933483,,,
8.46,28767.27725,,,,0.169879518,0.303562056,,,
8.49,28826.82703,,,,0.170481928,0.304190445,,,
8.52,28886.35942,,,,0.171084337,0.304818651,,,
8.55,28945.87443,,,,0.171686747,0.305446674,,,
8.58,29005.37206,,,,0.172289157,0.306074513,,,
8.61,29064.85231,,,,0.172891566,0.306702169,,,
8.64,29124.31517,,,,0.173493976,0.307329641,,,
8.67,29183.76066,,,,0.174096386,0.30795693,,,
8.7,29243.18877,,,,0.174698795,0.308584035,,,
8.73,29302.59951,,,,0.175301205,0.309210958,,,
8.76,29361.99288,,,,0.175903614,0.309837697,,,
8.79,29421.36887,,,,0.176506024,0.310464252,,,
8.82,29480.72749,,,,0.177108434,0.311090624,,,
8.85,29540.06875,,,,0.177710843,0.311716813,,,
8.88,29599.39264,,,,0.178313253,0.312342819,,,
8.91,29658.69916,,,,0.178915663,0.312968642,,,
8.94,29717.98833,,,,0.179518072,0.313594281,,,
8.97,29777.26013,,,,0.180120482,0.314219737,,,
9,29836.51457,,,,0.180722892,0.31484501,,,
9.03,29895.75165,,,,0.181325301,0.3154701,,,
9.06,29954.97138,,,,0.181927711,0.316095007,,,
9.09,30014.17376,,,,0.18253012,0.31671973,,,
9.12,30073.35878,,,,0.18313253,0.317344271,,,
9.15,30132.52645,,,,0.18373494,0.317968628,,,
9.18,30191.67677,,,,0.184337349,0.318592802,,,
9.21,30250.80974,,,,0.184939759,0.319216793,,,
9.24,30309.92536,,,,0.185542169,0.319840601,,,
9.27,30369.02364,,,,0.186144578,0.320464226,,,
9.3,30428.10458,,,,0.186746988,0.321087668,,,
9.33,30487.16818,,,,0.187349398,0.321710928,,,
9.36,30546.21444,,,,0.187951807,0.322334004,,,
9.39,30605.24336,,,,0.188554217,0.322956897,,,
9.42,30664.25494,,,,0.189156627,0.323579607,,,
9.45,30723.24918,,,,0.189759036,0.324202134,,,
9.48,30782.2261,,,,0.190361446,0.324824479,,,
9.51,30841.18568,,,,0.190963855,0.32544664,,,
9.54,30900.12793,,,,0.191566265,0.326068619,,,
9.57,30959.05286,,,,0.192168675,0.326690415,,,
9.6,31017.96046,,,,0.192771084,0.327312027,,,
9.63,31076.85073,,,,0.193373494,0.327933458,,,
9.66,31135.72368,,,,0.193975904,0.328554705,,,
9.69,31194.5793,,,,0.194578313,0.329175769,,,
9.72,31253.41761,,,,0.195180723,0.329796651,,,
9.75,31312.2386,,,,0.195783133,0.33041735,,,
9.78,31371.04227,,,,0.196385542,0.331037866,,,
9.81,31429.82862,,,,0.196987952,0.3316582,,,
9.84,31488.59766,,,,0.197590361,0.332278351,,,
9.87,31547.34939,,,,0.198192771,0.332898319,,,
9.9,31606.0838,,,,0.198795181,0.333518104,,,
9.93,31664.80091,,,,0.19939759,0.334137707,,,
9.96,31723.50071,,,,0.2,0.334757127,,,
9.99,31782.1832,,,,0.20060241,0.335376365,,,
10.02,31840.84839,,,,0.201204819,0.33599542,,,
10.05,31899.49628,,,,0.201807229,0.336614292,,,
10.08,31958.12686,,,,0.202409639,0.337232982,,,
10.11,32016.74015,,,,0.203012048,0.337851489,,,
10.14,32075.33613,,,,0.203614458,0.338469814,,,
10.17,32133.91482,,,,0.204216867,0.339087956,,,
10.2,32192.47621,,,,0.204819277,0.339705916,,,
10.23,32251.02031,,,,0.205421687,0.340323693,,,
10.26,32309.54712,,,,0.206024096,0.340941288,,,
10.29,32368.05664,,,,0.206626506,0.3415587,,,
10.32,32426.54887,,,,0.207228916,0.34217593,,,
10.35,32485.02381,,,,0.207831325,0.342792977,,,
10.38,32543.48146,,,,0.208433735,0.343409842,,,
10.41,32601.92183,,,,0.209036145,0.344026524,,,
10.44,32660.34492,,,,0.209638554,0.344643025,,,
10.47,32718.75072,,,,0.210240964,0.345259343,,,
10.5,32777.13924,,,,0.210843373,0.345875478,,,
10.53,32835.51049,,,,0.211445783,0.346491431,,,
10.56,32893.86446,,,,0.212048193,0.347107202,,,
10.59,32952.20115,,,,0.212650602,0.347722791,,,
10.62,33010.52057,,,,0.213253012,0.348338197,,,
10.65,33068.82272,,,,0.213855422,0.348953421,,,
10.68,33127.1076,,,,0.214457831,0.349568463,,,
10.71,33185.37521,,,,0.215060241,0.350183322,,,
10.74,33243.62555,,,,0.215662651,0.350798,,,
10.77,33301.85862,,,,0.21626506,0.351412495,,,
10.8,33360.07443,,,,0.21686747,0.352026808,,,
10.83,33418.27297,,,,0.21746988,0.352640938,,,
10.86,33476.45425,,,,0.218072289,0.353254887,,,
10.89,33534.61828,,,,0.218674699,0.353868653,,,
10.92,33592.76504,,,,0.219277108,0.354482238,,,
10.95,33650.89454,,,,0.219879518,0.35509564,,,
10.98,33709.00679,,,,0.220481928,0.35570886,,,
11.01,33767.10179,,,,0.221084337,0.356321898,,,
11.04,33825.17953,,,,0.221686747,0.356934754,,,
11.07,33883.24002,,,,0.222289157,0.357547428,,,
11.1,33941.28326,,,,0.222891566,0.35815992,,,
11.13,33999.30926,,,,0.223493976,0.35877223,,,
11.16,34057.318,,,,0.224096386,0.359384358,,,
11.19,34115.3095,,,,0.224698795,0.359996304,,,
11.22,34173.28375,,,,0.225301205,0.360608068,,,
11.25,34231.24077,,,,0.225903614,0.36121965,,,
11.28,34289.18054,,,,0.226506024,0.36183105,,,
11.31,34347.10307,,,,0.227108434,0.362442268,,,
11.34,34405.00836,,,,0.227710843,0.363053304,,,
11.37,34462.89642,,,,0.228313253,0.363664159,,,
11.4,34520.76724,,,,0.228915663,0.364274831,,,
11.43,34578.62082,,,,0.229518072,0.364885322,,,
11.46,34636.45718,,,,0.230120482,0.365495631,,,
11.49,34694.2763,,,,0.230722892,0.366105758,,,
11.52,34752.07819,,,,0.231325301,0.366715703,,,
11.55,34809.86285,,,,0.231927711,0.367325466,,,
11.58,34867.63029,,,,0.23253012,0.367935048,,,
11.61,34925.3805,,,,0.23313253,0.368544448,,,
11.64,34983.11349,,,,0.23373494,0.369153666,,,
11.67,35040.82925,,,,0.234337349,0.369762702,,,
11.7,35098.5278,,,,0.234939759,0.370371557,,,
11.73,35156.20912,,,,0.235542169,0.370980229,,,
11.76,35213.87323,,,,0.236144578,0.371588721,,,
11.79,35271.52012,,,,0.236746988,0.37219703,,,
11.82,35329.14979,,,,0.237349398,0.372805158,,,
11.85,35386.76225,,,,0.237951807,0.373413104,,,
11.88,35444.35749,,,,0.238554217,0.374020869,,,
11.91,35501.93553,,,,0.239156627,0.374628452,,,
11.94,35559.49635,,,,0.239759036,0.375235853,,,
11.97,35617.03997,,,,0.240361446,0.375843073,,,
12,35674.56638,,,,0.240963855,0.376450111,,,
12.03,35732.07558,,,,0.241566265,0.377056967,,,
12.06,35789.56758,,,,0.242168675,0.377663642,,,
12.09,35847.04238,,,,0.242771084,0.378270136,,,
12.12,35904.49997,,,,0.243373494,0.378876448,,,
12.15,35961.94037,,,,0.243975904,0.379482578,,,
12.18,36019.36356,,,,0.244578313,0.380088527,,,
12.21,36076.76956,,,,0.245180723,0.380694295,,,
12.24,36134.15836,,,,0.245783133,0.381299881,,,
12.27,36191.52997,,,,0.246385542,0.381905286,,,
12.3,36248.88438,,,,0.246987952,0.382510509,,,
12.33,36306.22161,,,,0.247590361,0.383115551,,,
12.36,36363.54164,,,,0.248192771,0.383720411,,,
12.39,36420.84448,,,,0.248795181,0.38432509,,,
12.42,36478.13014,,,,0.24939759,0.384929588,,,
12.45,36535.39861,,,,0.25,0.385533904,,,
12.48,36592.64989,,,,0.25060241,0.386138039,,,
